Sr,Job Title,Company Name,Experience,Salary,Location,Education,Department,Industry IT,Key Skills,Job Url
186,Business Development Role - Hydro Projects,PageGroup,10 to 15 Yrs,Not Available,Delhi,Graduation,Sales / BD,Recruitment Services,"hydro power,project development,new business,new business development,project management,project finance",https://www.shine.com/jobs/business-development-role-hydro-projects-permanent/pagegroup/11715938/
187,Business Development Role - Hydro Projects,Michael Page,10 to 15 Yrs,Not Available,Delhi,Graduation,Sales / BD,Recruitment Services,"project finance,equipment supply,new business development,new business,global management,hydro power",https://www.shine.com/jobs/business-development-role-hydro-projects-permanent/michael-page/11715191/
188,ReNew Power - Legal Role - Land Acquisition,ReNewPower,10 to 17 Yrs,Not Available,Other Gujarat,Graduation,Sales / BD,Consumer Durables / Electronics,"term sheets,legal issues,due diligence,land acquisition,vendor contracts,legal documentation",https://www.shine.com/jobs/renew-power-legal-role-land-acquisition-permanent/renewpower/11646676/
189,Frontend Developer,SOLLYS CONSULTING AND SOLUTIONS PRIVATE LIMITED,5 to 8 Yrs,Rs 5  - 12 Lakh/Yr,All India,Not Available,Testing,IT - Software,"angular,web application,agile development,back-end web development,angular js,teamwork",https://www.shine.com/jobs/frontend-developer-permanent/sollys-consulting-and-solutions-private-limited/11705786/
190,Head - Market Operations,ReNewPower,12 to 15 Yrs,Not Available,Gurugram,Graduation,SBU Head / CEO / Director,Consumer Durables / Electronics,"equipment supply,mis,portfolio management,gef,sales,management reporting",https://www.shine.com/jobs/head-market-operations-permanent/renewpower/11636952/
191,Head - Business Development,ReNewPower,10 to 15 Yrs,Not Available,Gurugram,Graduation,SBU Head / CEO / Director,Consumer Durables / Electronics,"new business development,solar power,solar energy,new business,energy services,renewable energy",https://www.shine.com/jobs/head-business-development-permanent/renewpower/11636951/
192,Sr Research Associate,Intel Technology India Pvt Ltd,5 to 7 Yrs,Not Available,Bangalore,Graduation,Sales / BD,IT - Software,"research,validation,hplc,documentation,calibration,embedded systems",https://www.shine.com/jobs/sr-research-associate-permanent/intel-technology-india-pvt-ltd/11577469/
193,Head - Business Development - Tendering,TUV SUD South Asia Pvt. Ltd.,20 to > 25 Yrs,Not Available,Mumbai City,Graduation,Sales / BD,Consumer Durables / Electronics,"sales,rate analysis,tender documents,direct cost,boqs,indirect cost",https://www.shine.com/jobs/head-business-development-tendering-permanent/tuv-sud-south-asia-pvt-ltd/11653442/
194,openings for cnc operator in bahadurgarh,KD Group of Industries,3 to 5 Yrs,Not Available,Other Haryana,Graduation,Maintenance,Manufacturing,"cnc,programming,machining,inspection,quality",https://www.shine.com/jobs/job-openings-for-cnc-operator-in-bahadurgarh/kd-group-of-industries/11546618/
195,Manager - Business Finance,ReNewPower,5 to 8 Yrs,Not Available,Gurugram,Graduation,Operations Management / Process Analysis,Consumer Durables / Electronics,"process improvement initiatives,business units,asset management,business finance,cost optimization,financial analysis",https://www.shine.com/jobs/manager-business-finance-permanent/renewpower/11636961/
