Sr,Job Title,Company Name,Experience,Salary,Location,Education,Department,Industry IT,Key Skills,Job Url
20,Mechanical Design Engineer,Sai Placement,8 to 13 Yrs,Not Available,Chennai,Graduation,Maintenance,Recruitment Services,"drawing,autocad,drafting,modeling,cad,3d modeling",https://www.shine.com/jobs/mechanical-design-engineer-permanent/sai-placement/11820057/
21,Lead Sales Engineers,Vestas,7 to 10 Yrs,Not Available,Mumbai City,Graduation,General / Other Software,Manufacturing,"marketing,business development,negotiation,customer relations,sales,wind energy",https://www.shine.com/jobs/lead-sales-engineers-permanent/vestas/11818216/
22,Analyst MDM Consultant,Vestas,3 to 6 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"sap,sap mdm,mdm,aix,bpm,master data management",https://www.shine.com/jobs/analyst-mdm-consultant-permanent/vestas/11818208/
23,"Assistant Lead Engineer, eBoP",Vestas,5 to 7 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"optimization,actuators,agile,alarm system,bom,failure mode",https://www.shine.com/jobs/assistant-lead-engineer-ebop-permanent/vestas/11818201/
24,Service Technician - Gujarat,Vestas,4 to 8 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"site,troubleshooting,wind turbines,mechanical,inspection,on the  training",https://www.shine.com/jobs/service-technician-gujarat-permanent/vestas/11818213/
25,Senior Analyst - Invoice Management,Vestas,5 to 8 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"social media,sap mm,customer relations,mm module,wind energy,supply chain",https://www.shine.com/jobs/senior-analyst-invoice-management-permanent/vestas/11818211/
26,Engineer,Vestas,1 to 3 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"power plant,open source,social media,test scripts,wind turbines,problem solving",https://www.shine.com/jobs/engineer-permanent/vestas/11818203/
27,L3 Network Engineer,AGILITY HUMAN RESOURCE MANAGEMENT SERVICES PVT LTD,8 to 13 Yrs,Rs 10  - 16 Lakh/Yr,Bangalore,Graduation,Hardware / Telecom Equipment Design,IT - Hardware / Networking,"asa,solar,srx,firewall,eigrp,bgp",https://www.shine.com/jobs/l3-network-engineer-permanent/agility-human-resource-management-services-pvt-ltd/11817751/
28,Engineer,Vestas,4 to 6 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"design for assembly,interactive creative direction,continuous improvement culture,continuous improvement facilitation,wind energy,social media",https://www.shine.com/jobs/engineer-permanent/vestas/11791540/
29,Project Manager,Vestas,5 to 7 Yrs,Not Available,Chennai,Graduation,Site Engineering / Project Management,Manufacturing,"delivery,project management,customer relations,reporting,java,interactive creative direction",https://www.shine.com/jobs/project-manager-permanent/vestas/11788449/
30,CAD Engineer,Vestas,5 to 7 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"auto cad,drawing,autocad,cad,bill of materials,drafting",https://www.shine.com/jobs/cad-engineer-permanent/vestas/11810966/
31,Senior Engineer - CAD,Vestas,3 to 5 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"troubleshooting,social media,commissioning,safety,inspection,site",https://www.shine.com/jobs/senior-engineer-cad-permanent/vestas/11810969/
32,Software Engineer,Vestas,3 to 5 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"java,sql,javascript,sql server,jquery,social media",https://www.shine.com/jobs/software-engineer-permanent/vestas/11810970/
33,Specialist Bolted Connections,Vestas,10 to 14 Yrs,Not Available,Chennai,Graduation,Operations Management / Process Analysis,Manufacturing,"interactive creative direction,continuous improvement facilitation,wind energy,social media,wind turbines,test scenarios",https://www.shine.com/jobs/specialist-bolted-connections-permanent/vestas/11786013/
34,"Sr. Manager - MIS, Chennai",Busisol Sourcing India Pvt Ltd,8 to 10 Yrs,Not Available,Chennai,Graduation,Operations Management / Process Analysis,Recruitment Services,"cash flow,wind mill,performance review,financial justification,business reports,mis",https://www.shine.com/jobs/sr-manager-mis-chennai-permanent/busisol-sourcing-india-pvt-ltd/11811233/
35,Loads Engineer,Vestas,2 to 5 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"computational fluid dynamics,interactive creative direction,environmental impact assessment,continuous improvement facilitation,open mind,wind energy",https://www.shine.com/jobs/loads-engineer-permanent/vestas/11778769/
36,ASP Demand Analyst-Construction & CIM,Vestas,5 to 9 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"root cause analysis,interactive creative direction,continuous improvement facilitation,root cause,wind energy,supply chain",https://www.shine.com/jobs/asp-demand-analyst-construction-cim-permanent/vestas/11778779/
37,Siting Engineer,Vestas,2 to 4 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"wind turbine design,interactive creative direction,continuous improvement facilitation,power plant,wind energy,social media",https://www.shine.com/jobs/siting-engineer-permanent/vestas/11756726/
38,BOP Engineer,Vestas,4 to 8 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"wind energy,continuous improvement facilitation,interactive creative direction,dc power,social media,on the  training",https://www.shine.com/jobs/bop-engineer-permanent/vestas/11799757/
39,Software Developer,Vestas,3 to 4 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"sql server,javascript,jquery,html,sql,web application development",https://www.shine.com/jobs/software-developer-permanent/vestas/11797881/
40,CRO Site Head - Pharma,PageGroup,15 to > 25 Yrs,Not Available,Bangalore,Graduation,Sales / BD,Recruitment Services,"site,inventory management,wind,asa,boq,capability building",https://www.shine.com/jobs/cro-site-head-pharma-permanent/pagegroup/11797841/
41,CRO Site Head - Pharma (15-28 yrs),Michael Page,15 to 20 Yrs,Not Available,Bangalore,Graduation,SBU Head / CEO / Director,Recruitment Services,"site,inventory management,wind,asa,boq,capability building",https://www.shine.com/jobs/cro-site-head-pharma-yrs-permanent/michael-page/11797384/
42,Lead Engineer,Vestas,10 to 12 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"continuous improvement facilitation,wind energy,wind turbines,process focused,social media,linux",https://www.shine.com/jobs/lead-engineer-permanent/vestas/11756509/
43,Engineer - High Voltage Transformer,Vestas,3 to 4 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"interactive creative direction,continuous improvement facilitation,wind energy,social media,high voltage,wind turbines",https://www.shine.com/jobs/engineer-high-voltage-transformer-permanent/vestas/11756727/
44,Urgently Looking For Operation and Maintenance Electrical/Mechanical,Wind World (India) Limited,0 to 5 Yrs,"Rs 50,000  - 3.0 Lakh/Yr",Other Rajasthan,Graduation,General / Other Software,Power / Energy,"control panel,preventive maintenance,it,control,records,training",https://www.shine.com/jobs/urgently-looking-for-operation-and-maintenance-electricalmechanical-permanent/wind-world-india-limited/11768032/
45,Assistant Lead PLM Engineer,Vestas,2 to 5 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"social media,plm,wind turbines,new product ideas,asset management,change requests",https://www.shine.com/jobs/assistant-lead-plm-engineer-permanent/vestas/11788447/
46,Software Application Engineer,Vestas,3 to 5 Yrs,Not Available,Chennai,Graduation,Service / Installation / Repair,Manufacturing,"social media,power supply,continuous improvement facilitation,wind turbines,energy industry,interactive creative direction",https://www.shine.com/jobs/software-application-engineer-permanent/vestas/11754343/
47,Site Head - Gelatin Capsules Plant,Michael Page,15 to > 25 Yrs,Not Available,Other Gujarat,Graduation,Sales / BD,Recruitment Services,"site,inventory management,wind,asa,boq,continuous improvement facilitation",https://www.shine.com/jobs/site-head-gelatin-capsules-plant-permanent/michael-page/11790641/
48,Site Head - Gelatin Capsules Plant (15-25 yrs),PageGroup,15 to 20 Yrs,Not Available,Other Gujarat,Graduation,Sales / BD,Recruitment Services,"site,inventory management,wind,asa,boq,continuous improvement facilitation",https://www.shine.com/jobs/site-head-gelatin-capsules-plant-yrs-permanent/pagegroup/11787993/
49,"QSE Specialist, Continuous Improvement",Vestas,3 to 8 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"business units,continuous improvement facilitation,black belt,iso 14001,iso 9001,wind energy",https://www.shine.com/jobs/qse-specialist-continuous-improvement-permanent/vestas/11750663/
50,Asst Lead Engineer,Vestas,5 to 8 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"java,c,customer relations,linux,automation,interactive creative direction",https://www.shine.com/jobs/asst-lead-engineer-permanent/vestas/11745734/
51,Assistant Lead Engineer - Nacelle Structure & Internal,Vestas,7 to 12 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"optimization,actuators,agile,alarm system,bom,supply chain management",https://www.shine.com/jobs/assistant-lead-engineer-nacelle-structure-internal-permanent/vestas/11778775/
52,Professional - Training Developer,Vestas,5 to 8 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"social media,interactive creative direction,document management system,wind energy,training needs analysis,statements of work sow",https://www.shine.com/jobs/professional-training-developer-permanent/vestas/11778767/
53,Financial Analyst,Vestas,3 to 5 Yrs,Not Available,Chennai,Graduation,Finance / Accounts / Tax,Manufacturing,"reporting,finance,basis,accounts,customer relations,interactive creative direction",https://www.shine.com/jobs/financial-analyst-permanent/vestas/11778774/
54,Assistant Lead Engineer,Vestas,2 to 3 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"optimization,actuators,agile,alarm system,bom,train new employees",https://www.shine.com/jobs/assistant-lead-engineer-permanent/vestas/11778777/
55,"P&C Data Analyst, People Analytics",Vestas,3 to 4 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"sql,data analysis,microsoft excel,customer relations,reporting,interactive creative direction",https://www.shine.com/jobs/pc-data-analyst-people-analytics-permanent/vestas/11778768/
56,Lead Engineer - FEA,Vestas,7 to 9 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"java,c,customer relations,linux,automation,sales order",https://www.shine.com/jobs/lead-engineer-fea-permanent/vestas/11778781/
57,Controls Engineer,Vestas,2 to 3 Yrs,Not Available,Chennai,Graduation,R&D / Product Design,Manufacturing,"interactive creative direction,continuous improvement facilitation,field test,wind energy,social media,music making",https://www.shine.com/jobs/controls-engineer-permanent/vestas/11743378/
58,PLM & MDM Engineer,Vestas,2 to 5 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"product lifecycle management,sap mm,sap ecc,master data,data sheets,supply chain",https://www.shine.com/jobs/plm-mdm-engineer-permanent/vestas/11775016/
59,Urgently Looking For Operation and Maintenance Electrical/Mechanical,Wind World (India) Limited,0 to 4 Yrs,Rs 1.5  - 2.5 Lakh/Yr,Tuticorin,Graduation,General / Other Software,Power / Energy,"control panel,preventive maintenance,it,control,records,matching",https://www.shine.com/jobs/urgently-looking-for-operation-and-maintenance-electricalmechanical-permanent/wind-world-india-limited/11753406/
60,Assistant Lead Engineer - Laser Systems Design,Vestas,8 to 10 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"optimization,actuators,agile,alarm system,bom,value stream mapping",https://www.shine.com/jobs/assistant-lead-engineer-laser-systems-design-permanent/vestas/11771926/
61,Asst Lead / Lead Engineer - QIP,Vestas,12 to 14 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"java,c,customer relations,linux,automation,new product development",https://www.shine.com/jobs/asst-lead-lead-engineer-qip-permanent/vestas/11769818/
62,Specialist - QBD,Vestas,15 to 16 Yrs,Not Available,Chennai,Graduation,Operations Management / Process Analysis,Manufacturing,"environmental impact assessment,continuous improvement facilitation,six sigma,root cause,social media,wind turbines",https://www.shine.com/jobs/specialist-qbd-permanent/vestas/11769873/
63,Traceability Engineer,Vestas,4 to 7 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"root cause analysis,first article inspection,interactive creative direction,continuous improvement facilitation,life cycle,root cause",https://www.shine.com/jobs/traceability-engineer-permanent/vestas/11765845/
64,Project Development Role - Wind,ReNewPower,12 to 20 Yrs,Not Available,Other Gujarat,Graduation,Sales / BD,Consumer Durables / Electronics,"wind energy,financial modelling,solar pv,corporate liaison,power projects,epc contractors",https://www.shine.com/jobs/project-development-role-wind-permanent/renewpower/11693997/
65,Lead Design Engineer,Vestas,8 to 13 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"catia v5,autocad,drawing,welding,bom,bill of materials",https://www.shine.com/jobs/lead-design-engineer-permanent/vestas/11762352/
66,Specialist,Vestas,5 to 10 Yrs,Not Available,Chennai,Graduation,Finance / Accounts / Tax,Manufacturing,"new product ideas,social media,policy making,wind turbines,energy industry,equipment supply",https://www.shine.com/jobs/specialist-permanent/vestas/11762287/
67,"Attorney Land Acquisition /Development, Bangalore",Talent Leads HR Solutions Pvt Ltd,10 to 15 Yrs,Rs 20  - 24 Lakh/Yr,Bangalore,Graduation,General / Other Software,Consumer Durables / Electronics,"corporate law,advising,english,trust,statutory,land use",https://www.shine.com/jobs/attorney-land-acquisition-development-bangalore-permanent/talent-leads-hr-solutions-pvt-ltd/11755348/
68,opening - Senior Manager Purchase ( Steel ) - Chennai,Orris Info Lab Private Limited,14 to 24 Yrs,Not Available,Chennai,Graduation,Sales / BD,IT - Software,"mrp,wind mill,it,wcm,procurement,purchase",https://www.shine.com/jobs/job-opening-senior-manager-purchase-steel-chennai-permanent/orris-info-lab-private-limited/11748749/
69,Lead Engineer - CIM Electrical & Control,Vestas,10 to 14 Yrs,Not Available,Chennai,Graduation,Service / Installation / Repair,Manufacturing,"java,c,customer relations,linux,automation,new product ideas",https://www.shine.com/jobs/lead-engineer-cim-electrical-control-permanent/vestas/11749561/
70,Assistant Lead Engineer - Switchgear & Cables,Vestas,20 to > 25 Yrs,Not Available,Chennai,Graduation,Service / Installation / Repair,Manufacturing,"optimization,actuators,agile,alarm system,bom,new product ideas",https://www.shine.com/jobs/assistant-lead-engineer-switchgear-cables-permanent/vestas/11749230/
71,Design Engineer - Cooling & Conditioning,Vestas,6 to 8 Yrs,Not Available,Chennai,Graduation,Engineering Design / Construction,Manufacturing,"drawing,autocad,drafting,modeling,cad,bill of materials",https://www.shine.com/jobs/design-engineer-cooling-conditioning-permanent/vestas/11736426/
72,Senior Engineer-Packaging,Vestas,6 to 7 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"inspection,safety,troubleshooting,social media,continuous improvement facilitation,data collection",https://www.shine.com/jobs/senior-engineer-packaging-permanent/vestas/11721738/
73,Wind Turbines Design Engineer Nacelle Steel Structures,Talent Leads HR Solutions Pvt Ltd,7 to 12 Yrs,Rs 20  - 24 Lakh/Yr,Bangalore,Graduation,Sales / BD,Consumer Durables / Electronics,"drawing,autocad,drafting,modeling,cad,root cause analysis",https://www.shine.com/jobs/wind-turbines-design-engineer-nacelle-steel-structures-permanent/talent-leads-hr-solutions-pvt-ltd/11755351/
74,CIM Lead Engineer - Nacelle & Hub,Vestas,10 to 15 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"java,c,customer relations,linux,automation,new product ideas",https://www.shine.com/jobs/cim-lead-engineer-nacelle-hub-permanent/vestas/11717810/
75,Purchaser,Vestas,5 to 9 Yrs,Not Available,Chennai,Graduation,Supply Chain / Logistics,Manufacturing,"supply chain management,supplier relationship management,supply chain,social media,wind turbines,energy industry",https://www.shine.com/jobs/purchaser-permanent/vestas/11715812/
76,Lead Supplier Quality Engineer (Composites),Vestas,8 to 10 Yrs,Not Available,Chennai,Graduation,Supply Chain / Logistics,Manufacturing,"ohsas 18001,quality,green belt,wind turbines,inspection,energy industry",https://www.shine.com/jobs/lead-supplier-quality-engineer-composites-permanent/vestas/11715513/
77,Lead Engineer - FEA,Vestas,8 to 13 Yrs,Not Available,Chennai,Graduation,Engineering Design / Construction,Manufacturing,"java,c,customer relations,linux,automation,finite element analysis",https://www.shine.com/jobs/lead-engineer-fea-permanent/vestas/11709758/
78,Engineer,Vestas,3 to 7 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"social media,site specific,wind turbines,stress analysis,energy industry,modelling tools",https://www.shine.com/jobs/engineer-permanent/vestas/11708728/
79,Loads Engineer - Offshore,Vestas,2 to 5 Yrs,Not Available,Chennai,Graduation,Service / Installation / Repair,Manufacturing,"computational fluid dynamics,environmental impact assessment,open mind,social media,site specific,wind turbines",https://www.shine.com/jobs/loads-engineer-offshore-permanent/vestas/11705702/
80,Consultant - Virtualization,Genpact India Pvt. Ltd.,3 to 6 Yrs,Not Available,Gurugram,Graduation,IT Operations / EDP / MIS,IT - Software,"influence at all levels,data center operations,virtual desktop infrastructure,hp blade,cisco ucs,vmware esx",https://www.shine.com/jobs/consultant-virtualization-permanent/genpact-india-pvt-ltd/11845606/
81,Senior Consultant/ Manager Energy Market Modeling,ICF,5 to 10 Yrs,Not Available,Delhi,Graduation,Sales / BD,Management Consulting / Strategy,"energy markets,power markets,sales,delivery,project teams,energy systems",https://www.shine.com/jobs/senior-consultant-manager-energy-market-modeling-permanent/icf/11685207/
82,Consultant - Virtualization,Genpact,3 to 8 Yrs,< Rs 50000 /Yr,Gurugram,Graduation,General / Other Software,IT - Software,"influence at all levels,data center operations,virtual desktop infrastructure,hp blade,cisco ucs,vmware esx",https://www.shine.com/jobs/consultant-virtualization-permanent/genpact/11840633/
83,Site Head - Sales - Real Estate,Havoc Consultants Pvt. Ltd.,10 to 20 Yrs,Not Available,Navi Mumbai,Graduation,Sales / BD,Recruitment Services,"site,inventory management,wind,asa,boq,sales strategy",https://www.shine.com/jobs/site-head-sales-real-estate-permanent/havoc-consultants-pvt-ltd/11654358/
84,Engineer,Vestas,2 to 5 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"wind turbine design,power plant,social media,sales process,layout design,wind turbines",https://www.shine.com/jobs/engineer-permanent/vestas/11555858/
85,PDM Engineer,Vestas,2 to 5 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"engineering change management,continuous improvement facilitation,sap mm,master data,social media,wind turbines",https://www.shine.com/jobs/pdm-engineer-permanent/vestas/11647623/
86,Software Engineer,Vestas,3 to 5 Yrs,Not Available,Chennai,Graduation,Application Programming / Maintenance,Manufacturing,"java,sql,javascript,sql server,jquery,social media",https://www.shine.com/jobs/software-engineer-permanent/vestas/11608138/
87,Deputy General Manager - Wind Power Bellary,Busisol Sourcing India Pvt Ltd,12 to 15 Yrs,Not Available,Bellary,Graduation,SBU Head / CEO / Director,Recruitment Services,"budgeting,contract management,renewable energy,marketing,site management,equipment supply",https://www.shine.com/jobs/deputy-general-manager-wind-power-bellary/busisol-sourcing-india-pvt-ltd/11415073/
88,Site Head - OEM Plant - Automotive,Michael Page,16 to > 25 Yrs,Not Available,Gurugram,Graduation,Service / Installation / Repair,Recruitment Services,"site,inventory management,wind,asa,boq,continuous improvement facilitation",https://www.shine.com/jobs/site-head-oem-plant-automotive/michael-page/11545454/
89,Consultant - Virtualization,Genpact India Pvt. Ltd.,3 to 5 Yrs,Not Available,Gurugram,Graduation,IT Operations / EDP / MIS,IT - Software,"influence at all levels,data center operations,virtual desktop infrastructure,hp blade,cisco ucs,vmware esx",https://www.shine.com/jobs/consultant-virtualization-permanent/genpact-india-pvt-ltd/11845605/
90,Pastry Chef,Alliance Recruitment Agency,4 to 5 Yrs,Not Available,Bangalore,Graduation,General / Other Software,Recruitment Services,"kitchen,bakery,cooking,safety,quality,icing",https://www.shine.com/jobs/pastry-chef/alliance-recruitment-agency/11498732/
91,Consultant - Virtualization,Genpact,3 to 8 Yrs,< Rs 50000 /Yr,Gurugram,Graduation,General / Other Software,IT - Software,"influence at all levels,data center operations,virtual desktop infrastructure,hp blade,cisco ucs,vmware esx",https://www.shine.com/jobs/consultant-virtualization-permanent/genpact/11840632/
92,Site Head - OEM Plant - Automotive (16-28 yrs),PageGroup,16 to > 25 Yrs,Not Available,Gurugram,Graduation,Site Engineering / Project Management,Recruitment Services,"site,inventory management,wind,asa,boq,manufacturing operations management",https://www.shine.com/jobs/site-head-oem-plant-automotive-yrs/pagegroup/11470848/
93,SB WIND ENERGY,SB Wind Energy,2 to 7 Yrs,Not Available,Chennai,Graduation,General / Other Software,Oil & Gas / Petroleum,"wind energy,equipment supply,Wind Turbines,Wind Resource Assessment,Offshore Wind,WindPro",https://www.shine.com/jobs/sb-wind-energy/sb-wind-energy/10306485/
94,Principle Consultant Citrix Support (SME),Genpact,3 to 5 Yrs,Not Available,Hyderabad,Graduation,IT Operations / EDP / MIS,IT - Software,"cisco ucs,customer focus,access gateway,problem solving,active directory,computer science",https://www.shine.com/jobs/principle-consultant-citrix-support-sme-permanent/genpact/11793237/
95,Lead/Analyst - Wind Resource - Infrastructure Firm,Vito India,12 to 16 Yrs,Not Available,Gurugram,Graduation,General / Other Software,Management Consulting / Strategy,"data analysis,global mapper,data cleaning,equipment supply,resource assessment,suitability analysis",https://www.shine.com/jobs/leadanalyst-wind-resource-infrastructure-firm/vito-india/11499298/
96,"WRA ( Wind Resource Assessment), CFD Based WRA, WAsP",Augusta Infotech,4 to 12 Yrs,Not Available,Bangalore,Graduation,Operations Management / Process Analysis,Recruitment Services,"wind resource assessment,front end,life cycle,music making,equipment supply,energy production",https://www.shine.com/jobs/wra-wind-resource-assessment-cfd-based-wra-wasp/augusta-infotech/10987189/
97,Urgent hiring For Cost Estimator (Structure)- Gujarat,Samridhi Placements,12 to 19 Yrs,Not Available,Other Gujarat,Not Available,Sales / BD,Telecom / ISP,"framing,customer relations,rate analysis,cost management,consulting,administration",https://www.shine.com/jobs/urgent-hiring-for-cost-estimator-structure-gujarat-permanent/samridhi-placements/11847416/
98,assistant manager maintenance,Randstad,10 to 15 Yrs,Not Available,Chennai,Graduation,Maintenance,Recruitment Services,"safety,inspection,mechanical,troubleshooting,welding,breakdown",https://www.shine.com/jobs/assistant-manager-maintenance-permanent/randstad/11846905/
99,SEO Analyst,Winds Online Pvt. Ltd,1 to 4 Yrs,Not Available,Other Kerala,Graduation,Web / Mobile Technologies,IT - Software,"marketing,seo,google analytics,link building,organic search,search engine",https://www.shine.com/jobs/seo-analyst/winds-online-pvt-ltd/11090445/
100,design engineer,Randstad,3 to 6 Yrs,Not Available,Chennai,Graduation,General / Other Software,Recruitment Services,"drawing,autocad,drafting,modeling,cad,continuous improvement facilitation",https://www.shine.com/jobs/design-engineer-permanent/randstad/11846147/
101,section engr,Randstad,4 to 6 Yrs,Not Available,Bellary,Graduation,General / Other Software,Recruitment Services,"div,less,section,diploma in computer application",https://www.shine.com/jobs/section-engr-permanent/randstad/11846087/
102,UI/HTML developer,Winds Online Pvt. Ltd,0 to 2 Yrs,Not Available,Other Kerala,Graduation,General / Other Software,IT - Software,"html,css,jquery,javascript,css3,user interface designing",https://www.shine.com/jobs/uihtml-developer/winds-online-pvt-ltd/11016052/
103,Senior Web Developer PHP,Winds Online Pvt. Ltd,2 to 4 Yrs,Not Available,Other Kerala,Graduation,General / Other Software,IT - Software,"css,jquery,javascript,mysql,html,operating systems",https://www.shine.com/jobs/senior-web-developer-php/winds-online-pvt-ltd/11016051/
104,"Wind Rotor / Wind Engineering Blade, Pitch Drives, Pitch Bearing, Hub",Augusta Infotech,4 to 12 Yrs,Not Available,Bangalore,Graduation,Sales / BD,Recruitment Services,"cross functional coordination,environmental impact assessment,test data,field test,supply chain,product development",https://www.shine.com/jobs/wind-rotor-wind-engineering-blade-pitch-drives-pitch-bearing-hub/augusta-infotech/10985569/
105,Lead Technical Analyst,Augusta Infotech,4 to 12 Yrs,Not Available,Bangalore,Graduation,Sales / BD,Recruitment Services,"wind resource assessment,environmental impact assessment,life cycle,music making,due diligence,risk assessment",https://www.shine.com/jobs/lead-technical-analyst/augusta-infotech/10984862/
106,"Senior Solutions Architect - IoT, Partner Solutions Architect",Amazon,3 to 4 Yrs,Not Available,Bangalore,Graduation,General / Other Software,IT - Software,"source system analysis,use cases,internet of things,data modeling,data analytics,customer facing roles",https://www.shine.com/jobs/senior-solutions-architect-iot-partner-solutions-architect-permanent/amazon/11834251/
107,Technical & Safety Training Officer,Vestas,3 to 5 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"teaching,technical training,training,iso,induction,interactive creative direction",https://www.shine.com/jobs/technical-safety-training-officer-permanent/vestas/11818205/
108,Wind Resource Assessment (AAH-03-N1C),MyCityAhmedabad,10 Yrs,Not Available,Ahmedabad,Graduation,Maintenance,Telecom / ISP,"equipment supply,energy assessment,assessment,engineering,suitability,Equipment Setup",https://www.shine.com/jobs/wind-resource-assessment-aah-n1c/mycityahmedabad/11148503/
109,Commvault Escalation Engineer,Aruba Networks,2 to 5 Yrs,Not Available,Bangalore,Graduation,General / Other Software,IT - Hardware / Networking,"active directory,high pressure,file system,windows,high pressure situations,troubleshooting",https://www.shine.com/jobs/commvault-escalation-engineer-permanent/aruba-networks/11832850/
110,team lead blade technology,Randstad,10 to 13 Yrs,Not Available,Bangalore,Graduation,Maintenance,Recruitment Services,"blade technology,management,mechanical,integration,intercultural,electromechanical",https://www.shine.com/jobs/team-lead-blade-technology-permanent/randstad/11810424/
111,"senior manager sourcing,",Randstad,3 to 4 Yrs,Not Available,Chennai,Graduation,Merchandising / Sourcing,Recruitment Services,"finance,sales,mis,accountancy,supply chain management,supply chain",https://www.shine.com/jobs/senior-manager-sourcing-permanent/randstad/11810396/
112,Assistant Lead Engineer - CAD,Vestas,5 to 8 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"bom,alarm system,agile,optimization,bill of materials,iso standards",https://www.shine.com/jobs/assistant-lead-engineer-cad-permanent/vestas/11818202/
113,Senior Hardware Engineer,Vestas,5 to 8 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"lan,debugging,cabling,environment,failure analysis,single line diagram",https://www.shine.com/jobs/senior-hardware-engineer-permanent/vestas/11810958/
114,Lead Supplier Quality Engineer,Vestas,8 to 10 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"quality,quality control,ppap,spc,inspection,green belt",https://www.shine.com/jobs/lead-supplier-quality-engineer-permanent/vestas/11810953/
115,P&C Data Specialist (Learning Management),Vestas,8 to 10 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"data models,sql,etl,datastage,environment,sap hcm",https://www.shine.com/jobs/pc-data-specialist-learning-management-permanent/vestas/11818195/
116,Piping Stress Engineer - FPSO,Seekout Online Hiring For EPC MNC Company,10 to 20 Yrs,Not Available,Mumbai City,Not Available,Engineering Design / Construction,Engineering / Construction,"piping design,offshore platforms,caesar ii,fpso,piping engineering,offshore",https://www.shine.com/jobs/piping-stress-engineer-fpso-permanent/seekout-online/11844221/
117,Quality Control Engineer,Suzlon Group,1 to 6 Yrs,Not Available,Jaisalmer,Graduation,Engineering Design / Construction,Environment / Waste Management,"automation,7 qc tools,logic,qa,commissioning,programming",https://www.shine.com/jobs/quality-control-engineer-permanent/suzlon-group/11827818/
118,"Wind Machine Head, Component Design, FEA, Main Gearbox, Base Frame",Augusta Infotech,4 to 7 Yrs,Not Available,Bangalore,Graduation,Service / Installation / Repair,Recruitment Services,"design for assembly,conceptual design,system integration,rca,design,gearbox",https://www.shine.com/jobs/wind-machine-head-component-design-fea-main-gearbox-base-frame/augusta-infotech/10983607/
119,Performance Engineer,3D PLM Software Solutions Ltd,4 to 8 Yrs,Not Available,Pune,Graduation,Web / Mobile Technologies,IT - Software,"performance testing,load runner,load testing,environment,test scripts,standard operating procedures",https://www.shine.com/jobs/performance-engineer-permanent/3d-plm-software-solutions-ltd/11841183/
120,Technical Writer,Vestas,5 to 7 Yrs,Not Available,Kolkata,Graduation,General / Other Software,Manufacturing,"social media,editing,content management,equipment supply,documentation,customer relations",https://www.shine.com/jobs/technical-writer-permanent/vestas/11818206/
